business_name,Yelp_Score
La Jefa,2.4
SUNFLOWER RESTAURANT,3
New Jumbo Seafood Restaurant ,2.5
New Chef Hung's Restaurant,3
Mission Hunan Restaurant,3.5
Las Isletas,3.5
Viva Goa Indian Cuisine,4
SWEET DELIGHT BAKERY,4
San Tung Restaurant LLC,4
LA TRAVIATA,4
Serve Well Market Inc,NaN
IMPERIAL GARDEN SEAFOOD RESTAURANT,2.5
Oscar Burger & Deli,4
PETER D'S RESTAURANT,3.5
GENEVA STEAK HOUSE,3.5
Original Buffalo Wings,3
SEASONS RESTAURANT,NaN
Catering With Style,4
Local Diner,4
Bussaba,4