Zip Code,Population,Population density
94110,74565,32066
94103,26116,19259
94105,6890,18652
94102,29739,44330
94109,56822,47834
94111,3481,10116
94115,35178,31529
94112,85205,25329
94108,14914,55226
94118,42259,21685
94122,62918,26616
94121,43332,14061
94134,42274,17616
94107,29805,16634
94133,27885,36931
94104,496,6392
94124,35954,7298
94114,33984,23843
94127,20960,11839
94132,31737,10205
94117,43944,26041
94158,6080,9247
94123,25600,25083
94131,28756,13828
94116,46594,18021
94101,29739,44330
94544,75917,6928